Date,Latitude,Longitude,DO,ClayFraction,SiltFraction,SandFraction,SoilOrganicCarbon,KarstAreaExtent,Elevation,SoilErosion,TerrainSlope,LithologicalClasses.1,LithologicalClasses.2,LithologicalClasses.3,LithologicalClasses.4,LithologicalClasses.5,LithologicalClasses.6,LithologicalClasses.7,LithologicalClasses.8,LithologicalClasses.9,LithologicalClasses.10,LithologicalClasses.11,LithologicalClasses.12,Temperature_2m,Pressure,Precipitation,Runoff,Temperature_2m_Min,Temperature_2m_Max,SolarRadiation,Precip_30d,Precip_60d,Precip_90d,Temperature_30d,Temperature_60d,Temperature_90d,WindSpeed,Forests,Grasslands,Wetlands,Croplands,UrbanAreas,Population
2001-01-02,45.1,-122.82,10.7,20,43,37,45,0,269,2155,46,1,0,0,0,0,0,0,0,0,0,0,0,279.205783782543,101743.73289261,0,0.14115266197233,275.470181943759,285.850673689718,6483402.98884758,113.164003665624,193.49916651388,274.989850989131,8332.1102340892,16665.2503066577,25206.9316172901,0.826671896348572,0.04233760366581698,0,0,0.9159594264631534,0.0417029698710296,20879.9105482857
2001-01-02,38.96,-76.69,12.3,18,36,46,32,0,106,2759,18,1,0,0,0,0,0,0,0,0,0,0,0,271.145272789088,102281.354080304,0.0968791730279555,0.0951797648622335,270.185985816039,272.512150355748,8551179.60997732,71.349016318601,113.620990644885,119.33758139905,8183.91980869267,16593.4178355715,25219.3151251388,3.21415432668347,0.8858035977587732,0.04663521085225595,0.00451194337953406,0.0112238277794161,0.05182542023002068,28246.1940600752
2001-01-03,37.67,-78.09,14,20,37,42,48,20,423,1176,74,0,0,0,0,0,0,0,0,1,0,0,0,271.075027369134,101729.764493178,4.3511380454219e-4,0.0571437557721468,268.027259228966,275.894116977393,11180540.9032258,52.9363331401409,89.5442743677879,90.8343713096257,8194.76089209749,16602.6692023885,25235.5495632687,0.92864884145848,0.982641920757614,0.00852081270034751,0.00376228456232675,0.00507498197971179,0,2550.7913700576
2001-01-09,37.88,-77.16,13.33,18,36,47,29,0,69,496,14,1,0,0,0,0,0,0,0,0,0,0,0,272.990062636363,100744.733431402,0.199276833785473,0.144645684882055,271.551805752139,274.636134512213,10839984.2936709,50.7720845954922,79.5707123563734,86.0393814175226,8201.6842676302,16553.2005190221,25165.9577328052,3.24320225593672,0.9148069159875084,0.00403686495544214,0,0.08115621905704937,0,1772.34146202534
2001-01-09,37.88,-77.17,13.3,18,36,47,29,0,69,496,14,1,0,0,0,0,0,0,0,0,0,0,0,272.990062636363,100744.733431402,0.199276833785473,0.144645684882055,271.551805752139,274.636134512213,10839984.2936709,50.7720845954922,79.5707123563734,86.0393814175226,8201.6842676302,16553.2005190221,25165.9577328052,3.24320225593672,0.9148069159875084,0.00403686495544214,0,0.08115621905704937,0,1772.34146202534
2001-01-19,38.96,-76.69,11.6,18,36,46,32,0,106,2759,18,1,0,0,0,0,0,0,0,0,0,0,0,275.722296914456,101028.601476506,23.5068871050465,1.52054331064765,274.597637807972,276.766515026828,621396.843537415,12.6654636246737,103.992785872225,123.842476377021,8164.03295092248,16442.6176653636,24969.3226886643,0.870097573798696,0.8858035977587732,0.04663521085225595,0.00451194337953406,0.0112238277794161,0.05182542023002068,28246.1940600752
2001-01-22,45.1,-122.82,11.7,20,43,37,45,0,269,2155,46,1,0,0,0,0,0,0,0,0,0,0,0,279.992872514689,101392.742066489,0.0200835967266222,0.216636571299188,275.67637821467,286.074852245005,7226760.72862454,62.2821670645342,221.743966123656,273.040203238605,8346.91213804195,16680.066024083,25058.1049782825,0.777552735466744,0.04233760366581698,0,0,0.9159594264631534,0.0417029698710296,20879.9105482857
2001-01-22,37.88,-77.17,7.1,18,36,47,29,0,69,496,14,1,0,0,0,0,0,0,0,0,0,0,0,272.16656310327,102629.588498813,8.6566316558443e-4,0.147188011604019,269.640395654606,276.418794540212,11922260.3544304,58.690008758487,121.786661380857,135.736532776351,8204.30602110183,16494.9136250061,24996.019507425,1.22416372353927,0.9148069159875084,0.00403686495544214,0,0.08115621905704937,0,1772.34146202534
2001-01-23,37.67,-78.09,13.533333333333331,20,37,42,48,20,423,1176,74,0,0,0,0,0,0,0,0,1,0,0,0,273.153429517731,101634.670260147,0.00171065323684161,0.0631626918568589,269.233669228268,280.192012241908,12761721.2626728,58.6399149088984,131.952093736525,147.89763294126,8213.40742611922,16478.0111921899,24971.3732926066,0.73747893841425,0.982641920757614,0.00852081270034751,0.00376228456232675,0.00507498197971179,0,2550.7913700576
2001-01-29,37.88,-77.17,13.1,18,36,47,29,0,69,496,14,1,0,0,0,0,0,0,0,0,0,0,0,275.964853842047,102069.846219014,8.5234631796993e-4,0.168065858792655,272.382808830165,282.25448724288,11489553.5088608,59.0064314143909,106.330722194768,135.792267601396,8230.85381893187,16460.48134794,24906.3137341827,0.667666967188435,0.9148069159875084,0.00403686495544214,0,0.08115621905704937,0,1772.34146202534
